yawrate,speed,course,latitude,longitude,altitude
1.3913,20.48,33.11,51.039633,13.792572,111.96
0.9739,20.48,33.11,51.039633,13.792572,111.96
1.2521,20.48,33.11,51.039633,13.792572,111.96
1.4608,20.48,33.11,51.039633,13.792572,111.96
1.3217,20.48,33.11,51.039638,13.792577,111.98
0.8347,21.25,32.9099,51.039638,13.792577,111.98
0.1391,21.25,32.9099,51.039638,13.792577,111.98
0.3478,21.25,32.9099,51.039638,13.792577,111.98
0.3478,21.25,32.9099,51.039638,13.792577,111.98
0.1391,21.25,32.9099,51.039644,13.792581,112.03
0.5565,22.13,32.2,51.039644,13.792581,112.03
0.4869,22.13,32.2,51.039644,13.792581,112.03
0.9739,22.13,32.2,51.039644,13.792581,112.03
0.8347,22.13,32.2,51.039644,13.792581,112.03
0.626,22.13,32.2,51.03965,13.792586,112.08
0.8347,22.95,32.02,51.03965,13.792586,112.08
0.5565,22.95,32.02,51.03965,13.792586,112.08
0.3478,22.95,32.02,51.03965,13.792586,112.08
0.2782,22.95,32.02,51.03965,13.792586,112.08
0.2086,22.95,32.02,51.039655,13.79259,112.13
-0.1391,23.31,32.12,51.039655,13.79259,112.13
0.0,23.31,32.12,51.039655,13.79259,112.13
-0.1391,23.31,32.12,51.039655,13.79259,112.13
-0.5565,23.31,32.12,51.039655,13.79259,112.13
-0.2782,23.31,32.12,51.03966,13.792595,112.18
-0.3478,23.77,32.05,51.03966,13.792595,112.18
-0.3478,23.77,32.05,51.03966,13.792595,112.18
0.0,23.77,32.05,51.03966,13.792595,112.18
-0.1391,23.77,32.05,51.03966,13.792595,112.18
0.0,23.77,32.05,51.039665,13.7926,112.23
0.2086,24.76,32.65,51.039665,13.7926,112.23
0.2086,24.76,32.65,51.039665,13.7926,112.23
0.2086,24.76,32.65,51.039665,13.7926,112.23
0.1391,24.76,32.65,51.039665,13.7926,112.23
-0.3478,24.76,32.65,51.03967,13.792604,112.28
0.4173,25.53,32.85,51.03967,13.792604,112.28
-0.0695,25.53,32.85,51.03967,13.792604,112.28
-0.2086,25.53,32.85,51.03967,13.792604,112.28
-0.2782,25.53,32.85,51.03967,13.792604,112.28
0.0695,25.53,32.85,51.039676,13.792609,112.33
-0.4173,25.94,32.72,51.039676,13.792609,112.33
-0.1391,25.94,32.72,51.039676,13.792609,112.33
0.2782,25.94,32.72,51.039676,13.792609,112.33
0.2782,25.94,32.72,51.039676,13.792609,112.33
0.6956,25.94,32.72,51.039681,13.792613,112.37
0.4869,26.47,32.86,51.039681,13.792613,112.37
0.5565,26.47,32.86,51.039681,13.792613,112.37
0.6956,26.47,32.86,51.039681,13.792613,112.37
0.1391,26.47,32.86,51.039681,13.792613,112.37
0.5565,26.47,32.86,51.039688,13.792619,112.4
0.6956,27.41,32.85,51.039688,13.792619,112.4
-0.0695,27.41,32.85,51.039688,13.792619,112.4
-0.0695,27.41,32.85,51.039688,13.792619,112.4
-0.5565,27.41,32.85,51.039688,13.792619,112.4
0.2086,27.41,32.85,51.039693,13.792625,112.43
0.0695,27.53,32.6599,51.039693,13.792625,112.43
0.2782,27.53,32.6599,51.039693,13.792625,112.43
0.626,27.53,32.6599,51.039693,13.792625,112.43
0.0,27.53,32.6599,51.039693,13.792625,112.43
0.0695,27.53,32.6599,51.0397,13.792631,112.46
-0.626,28.59,32.89,51.0397,13.792631,112.46
0.0,28.59,32.89,51.0397,13.792631,112.46
0.8347,28.59,32.89,51.0397,13.792631,112.46
0.5565,28.59,32.89,51.0397,13.792631,112.46
0.2086,28.59,32.89,51.039707,13.792636,112.5
0.3478,29.16,32.14,51.039707,13.792636,112.5
0.2782,29.16,32.14,51.039707,13.792636,112.5
0.1391,29.16,32.14,51.039707,13.792636,112.5
0.5565,29.16,32.14,51.039707,13.792636,112.5
-0.2086,29.16,32.14,51.039715,13.792642,112.53
0.1391,30.4,31.58,51.039715,13.792642,112.53
-0.2086,30.4,31.58,51.039715,13.792642,112.53
0.4869,30.4,31.58,51.039715,13.792642,112.53
0.6956,30.4,31.58,51.039715,13.792642,112.53
0.3478,30.4,31.58,51.039723,13.792648,112.58
0.4173,31.34,30.97,51.039723,13.792648,112.58
-0.1391,31.34,30.97,51.039723,13.792648,112.58
0.2782,31.34,30.97,51.039723,13.792648,112.58
0.4173,31.34,30.97,51.039723,13.792648,112.58
0.8347,31.34,30.97,51.03973,13.792655,112.62
0.6956,31.9,31.03,51.03973,13.792655,112.62
0.1391,31.9,31.03,51.03973,13.792655,112.62
0.1391,31.9,31.03,51.03973,13.792655,112.62
0.2782,31.9,31.03,51.03973,13.792655,112.62
0.0695,31.9,31.03,51.039737,13.792661,112.65
0.4869,32.21,30.99,51.039737,13.792661,112.65
0.5565,32.21,30.99,51.039737,13.792661,112.65
0.3478,32.21,30.99,51.039737,13.792661,112.65
-0.1391,32.21,30.99,51.039737,13.792661,112.65
-0.3478,32.21,30.99,51.039744,13.792668,112.68
-0.0695,32.83,31.31,51.039744,13.792668,112.68
0.2086,32.83,31.31,51.039744,13.792668,112.68
0.0695,32.83,31.31,51.039744,13.792668,112.68
0.3478,32.83,31.31,51.039744,13.792668,112.68
0.3478,32.83,31.31,51.039752,13.792675,112.71
0.0,33.54,31.59,51.039752,13.792675,112.71
-0.2782,33.54,31.59,51.039752,13.792675,112.71
-0.1391,33.54,31.59,51.039752,13.792675,112.71
0.2782,33.54,31.59,51.039752,13.792675,112.71
0.3478,33.54,31.59,51.039759,13.792682,112.74
-0.0695,33.87,31.37,51.039759,13.792682,112.74
-0.1391,33.87,31.37,51.039759,13.792682,112.74
0.0,33.87,31.37,51.039759,13.792682,112.74
0.0,33.87,31.37,51.039759,13.792682,112.74
0.0,33.87,31.37,51.039768,13.792689,112.76
0.2782,34.25,31.09,51.039768,13.792689,112.76
-0.2782,34.25,31.09,51.039768,13.792689,112.76
0.1391,34.25,31.09,51.039768,13.792689,112.76
0.3478,34.25,31.09,51.039768,13.792689,112.76
0.4173,34.25,31.09,51.039776,13.792695,112.8
0.0695,34.74,30.48,51.039776,13.792695,112.8
0.0695,34.74,30.48,51.039776,13.792695,112.8
0.2782,34.74,30.48,51.039776,13.792695,112.8
0.3478,34.74,30.48,51.039776,13.792695,112.8
0.2086,34.74,30.48,51.039785,13.792703,112.83
0.0695,35.57,30.46,51.039785,13.792703,112.83
-0.1391,35.57,30.46,51.039785,13.792703,112.83
-0.0695,35.57,30.46,51.039785,13.792703,112.83
0.0695,35.57,30.46,51.039785,13.792703,112.83
0.5565,35.57,30.46,51.039794,13.79271,112.87
0.8347,36.2299,30.35,51.039794,13.79271,112.87
0.3478,36.2299,30.35,51.039794,13.79271,112.87
0.6956,36.2299,30.35,51.039794,13.79271,112.87
0.626,36.2299,30.35,51.039794,13.79271,112.87
0.2782,36.2299,30.35,51.039801,13.792717,112.93
0.2782,36.36,30.22,51.039801,13.792717,112.93
0.1391,36.36,30.22,51.039801,13.792717,112.93
0.0695,36.36,30.22,51.039801,13.792717,112.93
-0.0695,36.36,30.22,51.039801,13.792717,112.93
-0.0695,36.36,30.22,51.03981,13.792724,112.93
-0.5565,37.22,30.24,51.03981,13.792724,113.06
-0.1391,37.22,30.24,51.03981,13.792724,113.06
0.0,37.22,30.24,51.03981,13.792724,113.06
-0.0695,37.22,30.24,51.03981,13.792724,113.06
-0.1391,37.22,30.24,51.039818,13.792732,113.06
-0.1391,37.54,30.0,51.039818,13.792732,113.25
-0.1391,37.54,30.0,51.039818,13.792732,113.25
-0.2086,37.54,30.0,51.039818,13.792732,113.25
-0.2782,37.54,30.0,51.039818,13.792732,113.25
-0.0695,37.54,30.0,51.039825,13.792739,113.25
-0.4173,37.85,29.83,51.039825,13.792739,113.42
-0.6956,37.85,29.83,51.039825,13.792739,113.42
-0.7652,37.85,29.83,51.039825,13.792739,113.42
-0.7652,37.85,29.83,51.039825,13.792739,113.42
-0.0695,37.85,29.83,51.039833,13.792746,113.42
-0.0695,37.87,29.66,51.039833,13.792746,113.6
0.3478,37.87,29.66,51.039833,13.792746,113.6
-0.1391,37.87,29.66,51.039833,13.792746,113.6
-0.8347,37.87,29.66,51.039833,13.792746,113.6
-1.3217,37.87,29.66,51.03984,13.792753,113.6
-2.226,37.95,29.55,51.03984,13.792753,113.77
-1.5304,37.95,29.55,51.03984,13.792753,113.77
-0.4173,37.95,29.55,51.03984,13.792753,113.77
-0.2782,37.95,29.55,51.03984,13.792753,113.77
0.0695,37.95,29.55,51.039848,13.792761,113.77
0.9043,38.01,29.5,51.039848,13.792761,113.9
1.1826,38.01,29.5,51.039848,13.792761,113.9
1.3217,38.01,29.5,51.039848,13.792761,113.9
0.7652,38.01,29.5,51.039848,13.792761,113.9
-0.0695,38.01,29.5,51.039855,13.792768,113.9
-0.8347,38.04,29.14,51.039855,13.792768,114.01
-1.3217,38.04,29.14,51.039855,13.792768,114.01
-1.4608,38.04,29.14,51.039855,13.792768,114.01
-1.3217,38.04,29.14,51.039855,13.792768,114.01
0.2782,38.04,29.14,51.039863,13.792775,114.01
0.1391,38.53,29.36,51.039863,13.792775,114.09
0.3478,38.53,29.36,51.039863,13.792775,114.09
0.2782,38.53,29.36,51.039863,13.792775,114.09
0.3478,38.53,29.36,51.039863,13.792775,114.09
0.626,38.53,29.36,51.039871,13.792783,114.09
-0.2086,38.62,29.41,51.039871,13.792783,114.13
0.0,38.62,29.41,51.039871,13.792783,114.13
0.3478,38.62,29.41,51.039871,13.792783,114.13
-0.4173,38.62,29.41,51.039871,13.792783,114.13
-0.4173,38.62,29.41,51.03988,13.79279,114.13
-0.626,38.94,29.33,51.03988,13.79279,114.15
0.0,38.94,29.33,51.03988,13.79279,114.15
-0.4869,38.94,29.33,51.03988,13.79279,114.15
0.1391,38.94,29.33,51.03988,13.79279,114.15
0.2086,38.94,29.33,51.039888,13.792797,114.15
0.5565,38.93,29.16,51.039888,13.792797,114.18
0.0,38.93,29.16,51.039888,13.792797,114.18
-0.8347,38.93,29.16,51.039888,13.792797,114.18
-0.4869,38.93,29.16,51.039888,13.792797,114.18
-0.4869,38.93,29.16,51.039896,13.792804,114.18
-0.1391,38.9799,29.06,51.039896,13.792804,114.2
0.4173,38.9799,29.06,51.039896,13.792804,114.2
0.5565,38.9799,29.06,51.039896,13.792804,114.2
0.4173,38.9799,29.06,51.039896,13.792804,114.2
0.1391,38.9799,29.06,51.039905,13.792812,114.2
-0.2782,39.07,28.78,51.039905,13.792812,114.22
-0.5565,39.07,28.78,51.039905,13.792812,114.22
-0.7652,39.07,28.78,51.039905,13.792812,114.22
-0.1391,39.07,28.78,51.039905,13.792812,114.22
0.6956,39.07,28.78,51.039914,13.792819,114.22
0.1391,39.19,28.44,51.039914,13.792819,114.24
0.1391,39.19,28.44,51.039914,13.792819,114.24
-0.2782,39.19,28.44,51.039914,13.792819,114.24
-0.1391,39.19,28.44,51.039914,13.792819,114.24
-0.6956,39.19,28.44,51.039922,13.792826,114.24
-0.9739,39.1599,28.53,51.039922,13.792826,114.26
-0.5565,39.1599,28.53,51.039922,13.792826,114.26
-0.5565,39.1599,28.53,51.039922,13.792826,114.26
-0.2782,39.1599,28.53,51.039922,13.792826,114.26
-0.6956,39.1599,28.53,51.03993,13.792833,114.26
0.0,39.22,28.4,51.03993,13.792833,114.28
0.8347,39.22,28.4,51.03993,13.792833,114.28
-0.2086,39.22,28.4,51.03993,13.792833,114.28
0.4869,39.22,28.4,51.03993,13.792833,114.28
-0.5565,39.22,28.4,51.039939,13.79284,114.28
-0.626,39.24,28.16,51.039939,13.79284,114.31
-0.4173,39.24,28.16,51.039939,13.79284,114.31
-0.8347,39.24,28.16,51.039939,13.79284,114.31
-0.3478,39.24,28.16,51.039939,13.79284,114.31
-0.4173,39.24,28.16,51.039947,13.792847,114.31
-0.7652,39.26,27.97,51.039947,13.792847,114.34
-0.3478,39.26,27.97,51.039947,13.792847,114.34
-0.3478,39.26,27.97,51.039947,13.792847,114.34
-0.4173,39.26,27.97,51.039947,13.792847,114.34
-0.0695,39.26,27.97,51.039956,13.792854,114.34
0.2782,39.27,27.86,51.039956,13.792854,114.36
0.2782,39.27,27.86,51.039956,13.792854,114.36
0.2782,39.27,27.86,51.039956,13.792854,114.36
0.3478,39.27,27.86,51.039956,13.792854,114.36
0.3478,39.27,27.86,51.039964,13.792861,114.36
0.9043,39.29,27.79,51.039964,13.792861,114.39
0.0695,39.29,27.79,51.039964,13.792861,114.39
0.1391,39.29,27.79,51.039964,13.792861,114.39
-0.1391,39.29,27.79,51.039964,13.792861,114.39
-0.2086,39.29,27.79,51.039973,13.792868,114.39
-0.4869,39.3,27.77,51.039973,13.792868,114.41
-0.626,39.3,27.77,51.039973,13.792868,114.41
-0.626,39.3,27.77,51.039973,13.792868,114.41
-0.4869,39.3,27.77,51.039973,13.792868,114.41
-0.7652,39.3,27.77,51.039981,13.792875,114.41
-1.0434,39.3,27.8,51.039981,13.792875,114.44
-0.626,39.3,27.8,51.039981,13.792875,114.44
-0.7652,39.3,27.8,51.039981,13.792875,114.44
-0.8347,39.3,27.8,51.039981,13.792875,114.44
-0.2782,39.3,27.8,51.039989,13.792882,114.44
-0.2782,39.31,27.96,51.039989,13.792882,114.47
-0.8347,39.31,27.96,51.039989,13.792882,114.47
-0.4869,39.31,27.96,51.039989,13.792882,114.47
-0.4173,39.31,27.96,51.039989,13.792882,114.47
-0.4173,39.31,27.96,51.039998,13.792889,114.47
-0.0695,39.33,28.1,51.039998,13.792889,114.5
-0.0695,39.33,28.1,51.039998,13.792889,114.5
-0.1391,39.33,28.1,51.039998,13.792889,114.5
-0.6956,39.33,28.1,51.039998,13.792889,114.5
-0.5565,39.33,28.1,51.040006,13.792897,114.5
-0.5565,39.38,28.46,51.040006,13.792897,114.53
